team1,team2,winner,venue,city,date,toss_winner
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-25,Delhi Daredevils
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-27,Chennai Super Kings
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-03,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-04-04,Mumbai Indians
Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-05,Pune Warriors
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2013-04-06,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-06,Mumbai Indians
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune,2013-04-07,Pune Warriors
Sunrisers Hyderabad,Royal Challengers Bangalore,No Result,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-07,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-08,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-09,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-10,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-04-11,Royal Challengers Bangalore
Pune Warriors,Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2013-04-11,Rajasthan Royals
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2013-04-12,Delhi Daredevils
Mumbai Indians,Pune Warriors,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-13,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-13,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-14,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-14,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-15,Pune Warriors
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-16,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Daredevils,No Result,M Chinnaswamy Stadium,Bangalore,2013-04-16,Royal Challengers Bangalore
Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,2013-04-17,Pune Warriors
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-17,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi,2013-04-18,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-19,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Kolkata,2013-04-20,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-04-20,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi,2013-04-21,Mumbai Indians
Kings XI Punjab,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-21,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-22,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-04-23,Pune Warriors
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2013-05-16,Delhi Daredevils
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2013-04-24,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-25,Sunrisers Hyderabad
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-26,Kings XI Punjab
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-27,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-27,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-28,Kolkata Knight Riders
Delhi Daredevils,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Raipur,2013-04-28,Pune Warriors
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-29,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-29,Mumbai Indians
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Subrata Roy Sahara Stadium,Pune,2013-04-30,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-01,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Raipur,2013-05-01,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-05-02,Chennai Super Kings
Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune,2013-05-02,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-05-03,Rajasthan Royals
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-04,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2013-05-14,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-05,Mumbai Indians
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-05,Pune Warriors
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-04-09,Sunrisers Hyderabad
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-07,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-07,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-08,Sunrisers Hyderabad
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-09,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2013-05-09,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2013-05-10,Delhi Daredevils
Pune Warriors,Mumbai Indians,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,2013-05-11,Pune Warriors
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-11,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,JSCA International Stadium Complex,Ranchi,2013-05-12,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-12,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Delhi,2013-04-23,Kings XI Punjab
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-13,Sunrisers Hyderabad
Kolkata Knight Riders,Pune Warriors,Pune Warriors,JSCA International Stadium Complex,Ranchi,2013-05-15,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-05-14,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-15,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-06,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-17,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,2013-05-18,Mumbai Indians
Pune Warriors,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2013-05-19,Pune Warriors
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2013-05-18,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-19,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,Delhi,2013-05-21,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,Delhi,2013-05-22,Sunrisers Hyderabad
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Eden Gardens,Kolkata,2013-05-24,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2013-05-26,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2014-04-16,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Sharjah Cricket Stadium,,2014-04-17,Royal Challengers Bangalore
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Abu Dhabi,2014-04-18,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2014-04-18,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Dubai International Cricket Stadium,,2014-04-19,Royal Challengers Bangalore
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Dubai International Cricket Stadium,,2014-04-19,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Sharjah Cricket Stadium,,2014-04-20,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Abu Dhabi,2014-04-21,Chennai Super Kings
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sharjah Cricket Stadium,,2014-04-22,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,,2014-04-23,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah Cricket Stadium,,2014-04-24,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2014-04-25,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,,2014-04-25,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2014-04-26,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Abu Dhabi,2014-04-26,Kolkata Knight Riders
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Sharjah Cricket Stadium,,2014-04-27,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,,2014-04-27,Sunrisers Hyderabad
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Dubai International Cricket Stadium,,2014-04-28,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,No Result,Sheikh Zayed Stadium,Abu Dhabi,2014-04-29,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2014-04-30,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2014-05-02,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-03,Kings XI Punjab
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2014-05-03,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2014-05-04,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-05,Kolkata Knight Riders
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi,2014-05-05,Chennai Super Kings
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-06,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2014-05-07,Delhi Daredevils
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Cuttack,2014-05-07,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-08,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2014-05-09,Royal Challengers Bangalore
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2014-05-10,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2014-05-10,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Barabati Stadium,Cuttack,2014-05-11,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,2014-05-11,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-12,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2014-05-13,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2014-05-13,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-14,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Barabati Stadium,Cuttack,2014-05-14,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-15,Delhi Daredevils
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,JSCA International Stadium Complex,Ranchi,2014-05-18,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-18,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-19,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Delhi,2014-05-19,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-20,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-20,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-21,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-22,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,JSCA International Stadium Complex,Ranchi,2014-05-22,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-23,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-23,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2014-05-24,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-24,Kolkata Knight Riders
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-25,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-25,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-27,Kings XI Punjab
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Mumbai,2014-05-28,Chennai Super Kings
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Mumbai,2014-05-30,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2014-06-01,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-04-08,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-09,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,2015-04-10,Kings XI Punjab
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-11,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Eden Gardens,Kolkata,2015-04-11,Royal Challengers Bangalore
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2015-04-12,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Mumbai,2015-04-12,Mumbai Indians
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,2015-04-13,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-14,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-04-30,Kolkata Knight Riders
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,2015-04-15,Kings XI Punjab
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-16,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2015-04-17,Mumbai Indians
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-18,Delhi Daredevils
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2015-04-18,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-19,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2015-04-19,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2015-04-20,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,No Result,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-21,Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-22,Kolkata Knight Riders
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2015-04-22,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi,2015-04-23,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-24,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2015-04-25,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-25,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2015-04-26,Royal Challengers Bangalore
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-04-27,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-07,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,No Result,M Chinnaswamy Stadium,Bangalore,2015-04-29,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-28,Kolkata Knight Riders
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2015-05-01,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-01,Rajasthan Royals
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2015-05-02,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-02,Chennai Super Kings
Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-03,Mumbai Indians
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Brabourne Stadium,Mumbai,2015-05-03,Delhi Daredevils
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-04,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-04,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-05,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2015-05-06,Kings XI Punjab
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Brabourne Stadium,Mumbai,2015-05-07,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-08,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-09,Kings XI Punjab
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,2015-05-09,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2015-05-10,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-10,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-11,Sunrisers Hyderabad
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Raipur,2015-05-12,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-13,Royal Challengers Bangalore
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-14,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-15,Sunrisers Hyderabad
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-16,Kings XI Punjab
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Brabourne Stadium,Mumbai,2015-05-16,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,No Result,M Chinnaswamy Stadium,Bangalore,2015-05-17,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-17,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-19,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,2015-05-20,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2015-05-22,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Eden Gardens,Kolkata,2015-05-24,Chennai Super Kings
Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Wankhede Stadium,Mumbai,2016-04-09,Mumbai Indians
