team1,team2,winner,venue,city,date,toss_winner
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,Dharamsala,2010-04-16,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2010-04-17,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2010-04-17,Rajasthan Royals
Punjab Kings,Chennai Super Kings,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2010-04-18,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2010-04-18,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata,2010-04-19,Mumbai Indians
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,2010-04-21,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,2010-04-22,Chennai Super Kings
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,Mumbai,2010-04-24,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,2010-04-25,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-04-08,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-09,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Nehru Stadium,Kochi,2011-04-09,Kochi Tuskers Kerala
Delhi Capitals,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi,2011-04-10,Delhi Capitals
Pune Warriors,Punjab Kings,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,2011-04-10,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-11,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-12,Delhi Capitals
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2011-04-12,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-04-13,Punjab Kings
Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,2011-04-13,Kochi Tuskers Kerala
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-14,Royal Challengers Bengaluru
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,2011-04-15,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Wankhede Stadium,Mumbai,2011-04-15,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-04-16,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-16,Punjab Kings
Pune Warriors,Delhi Capitals,Delhi Capitals,Dr DY Patil Sports Academy,Mumbai,2011-04-17,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-17,Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium,Kochi,2011-04-18,Kochi Tuskers Kerala
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2011-04-19,Sunrisers Hyderabad
Mumbai Indians,Pune Warriors,Mumbai Indians,Wankhede Stadium,Mumbai,2011-04-20,Pune Warriors
Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Eden Gardens,Kolkata,2011-04-20,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-04-21,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2011-04-22,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Eden Gardens,Kolkata,2011-04-22,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2011-04-23,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-24,Sunrisers Hyderabad
Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-24,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-04-25,Pune Warriors
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,2011-04-26,Royal Challengers Bengaluru
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,2011-04-27,Pune Warriors
Kochi Tuskers Kerala,Sunrisers Hyderabad,Sunrisers Hyderabad,Nehru Stadium,Kochi,2011-04-27,Kochi Tuskers Kerala
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2011-04-28,Delhi Capitals
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-29,Rajasthan Royals
Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2011-04-29,Pune Warriors
Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,Nehru Stadium,Kochi,2011-04-30,Delhi Capitals
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-30,Kolkata Knight Riders
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-05-01,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-01,Chennai Super Kings
Mumbai Indians,Punjab Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-02,Punjab Kings
Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi,2011-05-02,Kochi Tuskers Kerala
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-03,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-04,Rajasthan Royals
Pune Warriors,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,2011-05-04,Pune Warriors
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,Nehru Stadium,Kochi,2011-05-05,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-05,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2011-05-06,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-05-07,Chennai Super Kings
Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-07,Delhi Capitals
Royal Challengers Bengaluru,Kochi Tuskers Kerala,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2011-05-08,Kochi Tuskers Kerala
Punjab Kings,Pune Warriors,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-05-08,Punjab Kings
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,2011-05-09,Rajasthan Royals
Sunrisers Hyderabad,Pune Warriors,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-05-10,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-05-10,Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sawai Mansingh Stadium,Jaipur,2011-05-11,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-12,Chennai Super Kings
Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,Holkar Cricket Stadium,Indore,2011-05-13,Punjab Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2011-05-14,Royal Challengers Bengaluru
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,2011-05-14,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-15,Delhi Capitals
Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,2011-05-15,Kochi Tuskers Kerala
Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr DY Patil Sports Academy,Mumbai,2011-05-16,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-17,Punjab Kings
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-18,Chennai Super Kings
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,2011-05-19,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Mumbai,2011-05-20,Mumbai Indians
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Himachal Pradesh Cricket Association Stadium,Dharamsala,2011-05-21,Punjab Kings
Delhi Capitals,Pune Warriors,No Result,Feroz Shah Kotla,Delhi,2011-05-21,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2011-05-22,Royal Challengers Bengaluru
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2011-05-22,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2011-05-24,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-25,Mumbai Indians
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-27,Mumbai Indians
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-05-28,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-04,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Eden Gardens,Kolkata,2012-04-05,Delhi Capitals
Mumbai Indians,Pune Warriors,Pune Warriors,Wankhede Stadium,Mumbai,2012-04-06,Mumbai Indians
Rajasthan Royals,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-06,Punjab Kings
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2012-04-07,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2012-04-07,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-08,Kolkata Knight Riders
Pune Warriors,Punjab Kings,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2012-04-08,Pune Warriors
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2012-04-09,Sunrisers Hyderabad
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2012-04-10,Royal Challengers Bengaluru
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2012-04-10,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2012-04-11,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-12,Royal Challengers Bengaluru
Punjab Kings,Pune Warriors,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-12,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-04-13,Rajasthan Royals
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Feroz Shah Kotla,Delhi,2012-04-19,Sunrisers Hyderabad
Pune Warriors,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2012-04-14,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Eden Gardens,Kolkata,2012-04-15,Kolkata Knight Riders
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,2012-04-15,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,Wankhede Stadium,Mumbai,2012-04-16,Delhi Capitals
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-04-17,Sunrisers Hyderabad
Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2012-04-17,Pune Warriors
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-18,Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-10,Sunrisers Hyderabad
Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-19,Pune Warriors
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-20,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-21,Rajasthan Royals
Delhi Capitals,Pune Warriors,Pune Warriors,Feroz Shah Kotla,Delhi,2012-04-21,Delhi Capitals
Mumbai Indians,Punjab Kings,Punjab Kings,Wankhede Stadium,Mumbai,2012-04-22,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Barabati Stadium,Cuttack,2012-04-22,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sawai Mansingh Stadium,Jaipur,2012-04-23,Rajasthan Royals
Pune Warriors,Delhi Capitals,Delhi Capitals,Subrata Roy Sahara Stadium,Pune,2012-04-24,Pune Warriors
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-04-25,Punjab Kings
Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Subrata Roy Sahara Stadium,Pune,2012-04-26,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,Delhi,2012-04-27,Mumbai Indians
Chennai Super Kings,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-28,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-04-28,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,Delhi,2012-04-29,Delhi Capitals
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2012-04-29,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,2012-04-30,Chennai Super Kings
Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,Barabati Stadium,Cuttack,2012-05-01,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,2012-05-01,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,M Chinnaswamy Stadium,Bangalore,2012-05-02,Punjab Kings
Pune Warriors,Mumbai Indians,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,2012-05-03,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-04,Chennai Super Kings
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Eden Gardens,Kolkata,2012-05-05,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-05-05,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2012-05-06,Mumbai Indians
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2012-05-06,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2012-05-07,Delhi Capitals
Pune Warriors,Rajasthan Royals,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune,2012-05-08,Pune Warriors
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-08,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,2012-05-09,Royal Challengers Bengaluru
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,2012-05-10,Chennai Super Kings
Pune Warriors,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Subrata Roy Sahara Stadium,Pune,2012-05-11,Pune Warriors
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2012-05-12,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-12,Chennai Super Kings
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2012-05-13,Rajasthan Royals
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2012-05-13,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2012-05-14,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Kolkata,2012-05-14,Chennai Super Kings
Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2012-05-15,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Wankhede Stadium,Mumbai,2012-05-16,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2012-05-17,Punjab Kings
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,2012-05-17,Delhi Capitals
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-18,Rajasthan Royals
Punjab Kings,Delhi Capitals,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,Dharamsala,2012-05-19,Delhi Capitals
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2012-05-19,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2012-05-20,Royal Challengers Bengaluru
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,2012-05-20,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2012-05-22,Kolkata Knight Riders
